,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,23.13203320503235,0.36345795761485344,0.01388702392578125,0.0035185078950426404,squared_error,10,"{'criterion': 'squared_error', 'n_estimators': 10}",-0.04786497861369149,-0.04805867059853396,-0.04404546889899434,-0.043843305280385415,-0.047817671207486645,-0.04632601891981837,0.0019473202478963191,10,-0.008798201436725387,-0.008962348655192152,-0.008826204588053992,-0.008347608503232063,-0.009300597687277689,-0.008846992174096256,0.00030700546895189766
1,34.140053796768186,0.2642151482118105,0.014808320999145507,0.0017537073518783257,squared_error,15,"{'criterion': 'squared_error', 'n_estimators': 15}",-0.04807541626320806,-0.04579231785146955,-0.04105577047301834,-0.04162230780264804,-0.04406223638424455,-0.04412160975491771,0.0026104887433997612,8,-0.00733660634745817,-0.007673105742270769,-0.007668649655356815,-0.007671375441491817,-0.007784328396236983,-0.00762681311656291,0.00015159824282706243
2,46.358649015426636,0.6506680730788248,0.019166040420532226,0.0045742966650817694,squared_error,20,"{'criterion': 'squared_error', 'n_estimators': 20}",-0.0454819537608694,-0.04368993941014244,-0.03842483917813823,-0.040403109168082714,-0.04274563725951875,-0.04214909575535031,0.0024801838494550037,5,-0.006862381524269365,-0.00713694621538483,-0.006953430232947837,-0.006779077887482546,-0.007054972010849182,-0.0069573615741867515,0.00012853029134858612
3,58.4636061668396,0.34255602585559586,0.024759769439697266,0.007020051003652322,squared_error,25,"{'criterion': 'squared_error', 'n_estimators': 25}",-0.0449067546363164,-0.04350014267954158,-0.03833528606433906,-0.04067135035155002,-0.04287337469246443,-0.0420573816848423,0.002308307118125467,3,-0.006641680338660467,-0.00686719757252123,-0.0067390370630627605,-0.006516079820593934,-0.006697542913918651,-0.006692307541751409,0.00011525354965774791
4,67.3532944202423,2.2325548572473806,0.03109564781188965,0.0059404747935435905,squared_error,30,"{'criterion': 'squared_error', 'n_estimators': 30}",-0.04357955657364951,-0.042206513159359034,-0.03702866423107993,-0.04052304411808857,-0.04197038446920073,-0.04106163251027555,0.0022374733075328722,1,-0.006295425302287871,-0.006467553983290681,-0.006447910794636836,-0.006541362633803099,-0.006581642380731131,-0.006466779018949924,9.846320546945916e-05
5,23.788459014892577,0.6349641794524591,0.01378645896911621,0.0030181069899164574,friedman_mse,10,"{'criterion': 'friedman_mse', 'n_estimators': 10}",-0.04775313319001895,-0.04745183945572836,-0.040602621572203144,-0.04688506567651096,-0.046408084072086964,-0.04582014879330968,0.0026495716355249407,9,-0.008973666825701247,-0.008960398532041435,-0.008951912578593858,-0.008771663729184816,-0.008485563105153868,-0.008828640954135044,0.00018683536644896213
6,35.456836986541745,0.675606834379193,0.014792490005493163,0.0017279961398135642,friedman_mse,15,"{'criterion': 'friedman_mse', 'n_estimators': 15}",-0.04618170127102132,-0.043782376938117734,-0.038891760688149805,-0.04398910635363569,-0.04408532169216304,-0.043386053388617514,0.002409316722837217,7,-0.00725726593279012,-0.007826628285808043,-0.007785001270977812,-0.007786241147727613,-0.007511873452362572,-0.007633402017933231,0.0002190552763634124
7,47.32062058448791,1.029841181642067,0.02070608139038086,0.003908338330208148,friedman_mse,20,"{'criterion': 'friedman_mse', 'n_estimators': 20}",-0.04602814063588335,-0.044688109813674146,-0.03827184376211584,-0.04171087756895893,-0.043945962956542156,-0.04292898694743488,0.0027168467072230624,6,-0.006818795379605186,-0.007157096103524558,-0.006994616850831773,-0.006968990258438436,-0.007057015481519715,-0.006999302814783934,0.00011113344893280979
8,59.860533475875854,1.4019559534223756,0.027522754669189454,0.011514728550738576,friedman_mse,25,"{'criterion': 'friedman_mse', 'n_estimators': 25}",-0.04542743494083878,-0.04271690764119057,-0.038439865094225055,-0.04026126009339683,-0.04361180586221418,-0.04209145472637309,0.002470430818800625,4,-0.00666752167223151,-0.006686178501044319,-0.0066748417972492865,-0.006661072030183522,-0.006740920893409966,-0.006686106978823721,2.8648340050149667e-05
9,86.16094326972961,32.64621023649578,0.02865900993347168,0.008617155225444617,friedman_mse,30,"{'criterion': 'friedman_mse', 'n_estimators': 30}",-0.0449258718612708,-0.042611022561972044,-0.037597903948481504,-0.04129305884551135,-0.04310796119586818,-0.04190716368262078,0.002449358089987929,2,-0.006410065160094267,-0.006536962428962412,-0.006584869484190768,-0.006447693619823685,-0.0065779703222103355,-0.006511512203056294,7.044146561105073e-05
